"Category Type","Category","Product","Report By","Starting Inventory Price","Starting Inventory Count","Starting Inventory Value","Purchased Units","Purchased Value","Ending Inventory Price","Ending Inventory Count","Ending Inventory Value","Used Units","Used Value","Cost %","Wasted Units","Wasted Values","Waste %"
"Food","Meat","Beef, Neck Bones","Pound",0,0,0,154.18,337.65,0,0,0,154.18,337.65,"0.15%",0,0,"0.00%"
"Food","Meat","Beef, Oxtail","Pound",0,0,0,132.2,1109.16,0,0,0,132.2,1109.16,"0.49%",0,0,"0.00%"
"Food","Meat","Beef, Shank","Pound",0,0,0,845.6,6663.33,0,0,0,845.6,6663.33,"2.96%",0,0,"0.00%"
"Food","Meat","Chicken, Bones","Pound",0.74879999999996,200.00000016,149.7600001198,0,0,0.7488000000002457,140.000000112,104.8320000839,60,44.928,"0.02%",0,0,"0.00%"
"Food","Meat","Chicken, Ground","Chicken, Ground (Pound)",0,0,0,10,44.4,0,0,0,10,44.4,"0.02%",4.31785713855,19.171285695162,"43.18%"
"Food","Meat","Chicken, Leg & Thigh Boneless","Pound",3.05,427.86498444,1304.988202542,1600,4832,3.0499999999935783,430.1877765088,1312.0727183517,1597.677208,4824.915484,"2.14%",10,30.5,"0.63%"
"Food","Meat","Chicken, Wings","Pound",2.25,360,810,12040,2520,2.25,300,675,12100,2655,"1.18%",0,0,"0.00%"
"Food","Meat","Pork, Belly","Pound",5.56,284.375,1581.125,318.64,1771.64,5.56,289.75,1611.01,313.265,1741.755,"0.77%",34.375,191.1284375,"10.97%"
"Food","Meat","Pork, Belly Skin","Pound",5.56,167.2905899,930.135679844,121.3,674.43,5.56,170.11623596,945.8462719376,118.474354,658.719408,"0.29%",0,0,"0.00%"
"Food","Meat","Pork, Ground","Pound",3.1700000000039963,62.502248694,198.13212836,21,66.57,3.1699999999990007,30.008994776,95.1285134399,53.493254,169.573615,"0.08%",12.1312217234,38.455972863178,"22.68%"
"Food","Meat","[RP-R] Oxtail Bone Broth — batch","Batch",1524.1,0.3316,505.39156,0,0,1524.1,0.3316,505.39156,0,0,"0.00%",0,0,"0.00%"
"Food","Meat","[RP] Brisket - Cooked 1lb (FOR INVENTORY)","Pound",10.73,498.5,5348.905," -412.5"," -4426.13",10.73,68.572,735.77756,17.428,186.99744,"0.08%",0,0,"0.00%"
"Food","Meat","[RP] Chicken & Shrimp Egg Rolls (Tray)","40 Pieces",11.79,3.4083,40.183857,0,0,0,0,0,3.4083,40.183857,"0.02%",0,0,"0.00%"
"Food","Meat","[RP] Oxtail Bone Broth Bag","Bag",12.7,16.58,210.566," -22.2172"," -293.986612",12.7,25.2016,320.06032," -30.8388"," -403.480932"," -0.18%",0,0,"0.00%"
"Food","Meat","[RP] Oxtail/Shank - Cooked 1lb (FOR INVENTORY)","Pound",14.97,262,3922.14," -209"," -3128.73",14.97,153.2,2293.404," -100.2"," -1499.994"," -0.67%",0,0,"0.00%"
"Food","Produce","Apple, Golden Delicious","Each",0.6009999995864359,0.0488437002,0.0293550638,0,0,0.6010000002016637,0.0976874003,0.0587101276," -0.048844"," -0.029355","0.00%",0,0,"0.00%"
"Food","Produce","Avocados, Fresh","Each",1.449,48,69.552,336.000001,456.85,1.3448,48,64.5504,336.000001,461.8516,"0.20%",0,0,"0.00%"
"Food","Produce","Basil, Fresh","Pound",7.95,5.38623738,42.820587171,17,135.15,7.949999998428107,8.4333005735,67.0447395589,13.952937,110.925848,"0.05%",0,0,"0.00%"
"Food","Produce","Bean Sprouts","Bag (10 Pounds)",7.95,10.408125,82.74459375,30,238.5,7.95,12.908125,102.61959375,27.5,218.625,"0.10%",0,0,"0.00%"
"Food","Produce","Beans, Green","Pound",1.6399999999997463,33.3520724495,54.6973988172,50,79.45,1.597999999999787,52.5247356324,83.9345275406,30.827337,50.212871,"0.02%",0,0,"0.00%"
"Food","Produce","Bok Choy, Baby","Pound",1.2400000000000075,94.3984239697,117.0540457224,424,480.75,1.4399999999996782,112.6909741266,162.2750027423,405.70745,435.529043,"0.19%",0,0,"0.00%"
"Food","Produce","Cabbage, Green","Count",1.4178999982158833,0.013676236,0.019391535,0,0,1.4178999982158833,0.027352472,0.03878307," -0.013676"," -0.019392","0.00%",0,0,"0.00%"
"Food","Produce","Cabbage, Napa","Each",4.416700000011533,4.7185576033,20.8404533666,18,73.5,3.9167000000029137,7.440334004,29.1415561936,15.278224,65.198897,"0.03%",0,0,"0.00%"
"Food","Produce","Cabbage, Red Shredded","Bag",11.750000000064027,3.2513712512,38.2036122016,6,70.5,11.749999999953793,1.9582576233,23.0095270738,7.293114,85.694085,"0.04%",0,0,"0.00%"
"Food","Produce","Carrots, Bulk","Pound",0.6999999998624603,170.4835026516,119.338451856,450,307,0.659000000071311,289.4963380603,190.7780867818,330.987165,235.560365,"0.10%",2.03174601915,1.422222213405,"0.60%"
"Food","Produce","Carrots, Shredded","Bag",13.95000000060479,0.082673415,1.1532941393,0,0,13.950000000362873,0.137789025,1.9221568988," -0.055116"," -0.768863","0.00%",0,0,"0.00%"
"Food","Produce","Cilantro, Fresh","Case",43,11.757110722,505.555761046,15,491.25,33.25,10.34346197,343.9201105025,16.413649,652.885651,"0.29%",0,0,"0.00%"
"Food","Produce","Cilantro, Sawtooth","Bag",13.5,1,13.5,4,67.5,13.5,3,40.5,2,40.5,"0.02%",0,0,"0.00%"
"Food","Produce","Cucumbers, Fresh","Each",0.7083000000014814,155.6583222446,110.2527896459,504,439.45,0.7082999999991403,280.3705347223,198.5864497438,379.287788,351.11634,"0.16%",0,0,"0.00%"
"Food","Produce","Culantro, Fresh","Each",1.49,0.6375,0.949875,0,0,1.49,0.159375,0.23746875,0.478125,0.712406,"0.00%",0,0,"0.00%"
"Food","Produce","Dill, Fresh","Pound",15.85,0.248020248,3.9311209308,2,31.7,15.84999999914618,0.0351362018,0.5569087985,2.212884,35.074212,"0.02%",0,0,"0.00%"
"Food","Produce","Fennel, Fresh","Each",0.8438,25.275,21.327045,24,61.75,2.5729,20.125,51.7796125,29.15,31.297433,"0.01%",0,0,"0.00%"
"Food","Produce","French Fries","Pound",3.2292,75,242.19,225,726.57,3.2292,125,403.65,175,565.11,"0.25%",0,0,"0.00%"
"Food","Produce","Garlic, Peeled","Jar",15.749999998742494,5.3012101942,83.4940605557,16,249.95,15.249999993479793,6.9797589799,106.4413244416,14.321451,227.002736,"0.10%",0.0576053066,0.90728357895,"0.40%"
"Food","Produce","Ginger, Fresh","Pound",1.2000000002406153,36.3993819153,43.6792582984,30,36,1.2000000001010538,35.0727035454,42.0872442545,31.326678,37.592014,"0.02%",0,0,"0.00%"
"Food","Produce","Leeks","Each",2.5624999866709186,0.0117224881,0.0300388756,0,0,2.5625000018660713,0.0234449761,0.0600777513," -0.011722"," -0.030039","0.00%",0,0,"0.00%"
"Food","Produce","Lemongrass, Fresh","Pound",1.950000000064799,9.624199683,18.7671893819,5,9.75,1.9499999999864404,8.5466895063,16.6660445373,6.07751,11.851145,"0.01%",0.018777284,0.0366157038,"0.31%"
"Food","Produce","Lemongrass, Frozen","Ounce",0.12139999999641074,894.9795983727,108.6505232425,559.999996,58.5,0.10450000000069405,849.8765887066,88.8121035199,605.103005,78.33842,"0.03%",0,0,"0.00%"
"Food","Produce","Lettuce, Green Leaf","Case",67.69999999869538,1.5884227815,107.5362223057,8,465.3,56.79999996534025,1.2107356955,68.7697875005,8.377687,504.066435,"0.22%",0,0,"0.00%"
"Food","Produce","Lettuce, Red Leaf","Case",59,1.13125,66.74375,2,111.55,54.75,1.0328125,56.546484375,2.098438,121.747266,"0.05%",0,0,"0.00%"
"Food","Produce","Limes, Fresh","Case",42,3.9648351688,166.5230770896,7,261.55,36,4.2439560472,152.7824176992,6.720879,275.290659,"0.12%",0,0,"0.00%"
"Food","Produce","Mint, Fresh","Pound",9.550000015478517,0.4646977899,4.437863894,8,76.4,9.54999999948972,0.6293955799,6.010727788,7.835302,74.827136,"0.03%",0,0,"0.00%"
"Food","Produce","Misc. Charges and Credits","",0,0,0,1,3.12,0,0,0,1,3.12,"0.00%",0,0,"0.00%"
"Food","Produce","Mushrooms, Royal Trumpet","Pound",3.272700000043344,5.8354802993,19.0977763755,55,180,3.272699999965947,13.6709605986,44.740952751,47.16452,154.356824,"0.07%",0,0,"0.00%"
